"r" "n" "Z" "logr" "logZ" "r_star" "p"
308 1 0.285714285714286 5.73009978297357 -1.25276296849537 297.981713455551 0.000319377894431765
313 2 0.5 5.74620319054015 -0.693147180559945 307.318563189138 0.000329385164253654
316 2 0.666666666666667 5.75574221358691 -0.405465108108164 310.317787059984 0.000332599743409174
319 1 0.222222222222222 5.76519110278484 -1.50407739677627 306.833669283276 0.000328865453185209
325 1 0.222222222222222 5.78382518232974 -1.50407739677627 319.315543571996 0.000342243571871302
328 1 0.166666666666667 5.79301360838414 -1.79175946922805 309.520151513231 0.000331744834701885
337 2 0.181818181818182 5.82008293035236 -1.70474809223843 310.350749105647 0.000332635072250726
350 1 0.142857142857143 5.85793315448346 -1.94591014905531 348.749279253788 0.000373790757832141
351 1 0.333333333333333 5.86078622346587 -1.09861228866811 340.951026291399 0.000365432561678116
356 1 0.333333333333333 5.87493073085203 -1.09861228866811 354.749211553132 0.000380221507297522
357 1 0.666666666666667 5.87773578177964 -0.405465108108164 353.518771410207 0.000378902717035144
359 1 0.5 5.88332238848828 -0.693147180559945 355.518615065881 0.000381046156807119
361 1 0.25 5.88887795833288 -1.38629436111989 348.792490826106 0.00037383707215399
367 2 0.5 5.90536184805457 -0.693147180559945 363.518006606483 0.000389619934027694
369 1 0.333333333333333 5.91079664404053 -1.09861228866811 361.113675096609 0.000387042962688632
373 2 0.8 5.92157841964382 -0.22314355131421 371.749031528247 0.000398441976756569
374 1 0.666666666666667 5.92425579741453 -0.405465108108164 370.517495407072 0.00039712201182068
376 2 0.235294117647059 5.92958914338989 -1.44691898293633 345.172033902704 0.000369956653132071
391 1 0.125 5.96870755998537 -2.07944154167984 389.74885792913 0.000417734256773976
392 1 1 5.97126183979046 0 390.7488487509 0.000418806050607915
393 1 1 5.97380961186926 0 391.748839619253 0.00041987784449178
394 4 4 5.97635090929793 1.38629436111989 392.748830533831 0.000420949638425191
395 1 1 5.97888576490112 0 393.748821494285 0.000422021432407771
396 1 0.285714285714286 5.98141421125448 -1.25276296849537 383.764709180905 0.000411320424176628
402 1 0.2 5.99645208861902 -1.6094379124341 394.102931716088 0.000422400969043508
406 1 0.4 6.00635315960173 -0.916290731874155 404.748724990415 0.000433811169357755
407 1 1 6.00881318544259 0 405.748716475315 0.000434882963902438
408 1 0.333333333333333 6.01126717440416 -1.09861228866811 397.920150623385 0.000426492278282118
413 1 0.333333333333333 6.02344759296103 -1.09861228866811 411.748666248381 0.000441313732096219
414 1 1 6.02586597382531 0 412.748658018397 0.00044238552694649
415 2 0.8 6.0282785202307 -0.22314355131421 407.099162415487 0.00043633037681887
419 1 0.142857142857143 6.03787091992214 -1.94591014905531 398.247703580662 0.00042684335074424
429 1 0.153846153846154 6.06145691892802 -1.87180217690159 423.296382812254 0.000453690617103341
432 1 0.4 6.06842558824411 -0.916290731874155 428.513893172466 0.000459282763861934
434 1 0.285714285714286 6.07304453410041 -1.25276296849537 423.908717832908 0.000454346920026481
439 1 0.285714285714286 6.08449941307517 -1.25276296849537 435.513522404336 0.000466784992169682
441 1 0.333333333333333 6.08904487544685 -1.09861228866811 433.092282229161 0.000464189898061075
445 1 0.333333333333333 6.09807428216624 -1.09861228866811 441.51321383213 0.000473215483468052
447 2 1.33333333333333 6.10255859461357 0.287682072451781 445.748407036702 0.000477754779092948
448 1 0.666666666666667 6.10479323241498 -0.405465108108164 444.513062627276 0.000476430732419731
450 1 0.666666666666667 6.10924758276437 -0.405465108108164 448.748386041113 0.000480970167603395
451 1 0.142857142857143 6.11146733950268 -1.94591014905531 423.947010603556 0.000454387962358642
464 1 0.133333333333333 6.13988455222626 -2.01490302054226 460.512289035371 0.000493578762020267
466 1 0.0769230769230769 6.14418563412565 -2.56494935746154 417.004188410566 0.000446946620043715
490 1 0.0769230769230769 6.19440539110467 -2.56494935746154 486.5111391185 0.000521444424986312
492 1 0.5 6.19847871649231 -0.693147180559945 488.511055670386 0.000523587942888714
494 1 0.285714285714286 6.20253551718792 -1.25276296849537 483.886863653812 0.000518631716909023
499 1 0.166666666666667 6.21260609575152 -1.79175946922805 484.539104543564 0.000519330791089165
506 1 0.2 6.22653666928747 -1.6094379124341 500.287230244071 0.000536209690029469
509 2 0.133333333333333 6.23244801655052 -2.01490302054226 453.897497806403 0.000486489004496847
536 1 0.0588235294117647 6.2841341610708 -2.83321334405622 521.517252540571 0.000558964105866489
543 1 0.25 6.29710931993394 -1.38629436111989 541.74785001817 0.000580647334513524
544 1 0.666666666666667 6.29894924685594 -0.405465108108164 540.509100343914 0.000579319638064961
546 1 0.4 6.30261897574491 -0.916290731874155 540.28348690949 0.000579077824757673
549 1 0.333333333333333 6.30809844150953 -1.09861228866811 543.283227985971 0.000582292958256091
552 1 0.333333333333333 6.31354804627709 -1.09861228866811 546.282971856095 0.000585508094748747
555 1 0.2 6.31896811374643 -1.6094379124341 540.507143787363 0.000579317541020467
562 1 0.1 6.33150184989369 -2.30258509299405 534.706274820647 0.000573100148365797
575 1 0.117647058823529 6.35437004079735 -2.14006616349627 567.066595722785 0.000607784059109879
579 1 0.0869565217391304 6.361302477573 -2.4423470353692 539.2752539396 0.000577997196959121
598 1 0.0909090909090909 6.39359075395063 -2.39789527279837 592.279364144989 0.000634807196865883
601 1 0.133333333333333 6.39859493453521 -2.01490302054226 575.754317005163 0.000617095590674684
613 1 0.142857142857143 6.41836493593621 -1.94591014905531 609.507015710595 0.000653271857060033
615 1 0.0714285714285714 6.42162226780652 -2.63905732961526 561.09156419045 0.000601379998377994
641 1 0.0357142857142857 6.46302945692067 -3.3322045101752 579.089339255308 0.000620670079765919
671 1 0.0454545454545455 6.50876913697168 -3.09104245335832 641.428954379206 0.000687485908116832
685 1 0.0625 6.52941883826223 -2.77258872223978 647.030739514297 0.00069348992198989
703 2 0.129032258064516 6.55535689181067 -2.04769284336526 675.507292763776 0.000724011196305769
716 1 0.08 6.57368016696065 -2.52572864430826 690.627020546113 0.000740216576050404
728 1 0.0392156862745098 6.59030104819669 -3.23867845216438 648.075959240057 0.000694610192329169
767 1 0.0416666666666667 6.64248680136726 -3.17805383034795 748.062443326657 0.000801776073043445
776 1 0.0645161290322581 6.65415252018322 -2.7408400239252 729.534301988405 0.000781917543136617
798 1 0.0689655172413793 6.68210859744981 -2.67414864942653 783.419789359237 0.00083967220632501
805 1 0.117647058823529 6.69084227741856 -2.14006616349627 783.872963198015 0.000840157919709105
815 1 0.0952380952380952 6.70318811324086 -2.35137525716348 791.70249934474 0.000848549645294948
826 1 0.0476190476190476 6.71659477352098 -3.04452243772342 761.075540359539 0.000815723558216954
857 1 0.0625 6.75343791859778 -2.77258872223978 855.746898629066 0.000917192667567609
858 1 0.0434782608695652 6.75460409948796 -3.13549421592915 765.484979707278 0.000820449611497789
903 1 0.0222222222222222 6.80572255341699 -3.80666248977032 810.115215460737 0.000868284462024814
948 1 0.0333333333333333 6.85435450225502 -3.40119738166216 915.995712482785 0.000981767567441397
963 1 0.0769230769230769 6.87005341179813 -2.56494935746154 939.626155429774 0.00100709476294403
974 1 0.117647058823529 6.88141130364254 -2.14006616349627 961.592195483697 0.00103063804531553
980 1 0.222222222222222 6.88755257166462
